Files already downloaded and verified
Files already downloaded and verified

===> epoch: 1/200
train:
 1/782 [>...............................................................................]  Step: 5s195ms | Tot: 0ms | Loss: 4.6259 | Acc: 1.562% (1/64)
 2/782 [>...............................................................................]  Step: 136ms | Tot: 136ms | Loss: 4.6447 | Acc: 0.781% (1/128)
 3/782 [>...............................................................................]  Step: 133ms | Tot: 270ms | Loss: 4.6311 | Acc: 0.521% (1/192)
 4/782 [>...............................................................................]  Step: 133ms | Tot: 403ms | Loss: 4.6366 | Acc: 0.391% (1/256)
 5/782 [>...............................................................................]  Step: 133ms | Tot: 536ms | Loss: 4.6366 | Acc: 0.625% (2/320)
 6/782 [>...............................................................................]  Step: 132ms | Tot: 669ms | Loss: 4.6378 | Acc: 0.521% (2/384)
 122/782 [============>...................................................................]  Step: 131ms | Tot: 16s245ms | Loss: nan | Acc: 1.204% (94/7808)
 123/782 [============>...................................................................]  Step: 131ms | Tot: 16s376ms | Loss: nan | Acc: 1.194% (94/7872)
 124/782 [============>...................................................................]  Step: 133ms | Tot: 16s510ms | Loss: nan | Acc: 1.197% (95/7936)
 125/782 [============>...................................................................]  Step: 131ms | Tot: 16s642ms | Loss: nan | Acc: 1.188% (95/8000)
 126/782 [============>...................................................................]  Step: 131ms | Tot: 16s774ms | Loss: nan | Acc: 1.190% (96/8064)
 127/782 [============>...................................................................]  Step: 133ms | Tot: 16s907ms | Loss: nan | Acc: 1.181% (96/8128)
 128/782 [=============>..................................................................]  Step: 134ms | Tot: 17s42ms | Loss: nan | Acc: 1.172% (96/8192)
 129/782 [=============>..................................................................]  Step: 135ms | Tot: 17s177ms | Loss: nan | Acc: 1.163% (96/8256)
 130/782 [=============>..................................................................]  Step: 131ms | Tot: 17s308ms | Loss: nan | Acc: 1.154% (96/8320)
 131/782 [=============>..................................................................]  Step: 132ms | Tot: 17s441ms | Loss: nan | Acc: 1.145% (96/8384)
 132/782 [=============>..................................................................]  Step: 134ms | Tot: 17s575ms | Loss: nan | Acc: 1.136% (96/8448)
 133/782 [=============>..................................................................]  Step: 133ms | Tot: 17s709ms | Loss: nan | Acc: 1.163% (99/8512)
 134/782 [=============>..................................................................]  Step: 135ms | Tot: 17s845ms | Loss: nan | Acc: 1.154% (99/8576)
 135/782 [=============>..................................................................]  Step: 135ms | Tot: 17s981ms | Loss: nan | Acc: 1.157% (100/8640)
 136/782 [=============>..................................................................]  Step: 132ms | Tot: 18s113ms | Loss: nan | Acc: 1.149% (100/8704)
 137/782 [==============>.................................................................]  Step: 132ms | Tot: 18s246ms | Loss: nan | Acc: 1.152% (101/8768)
 138/782 [==============>.................................................................]  Step: 132ms | Tot: 18s378ms | Loss: nan | Acc: 1.144% (101/8832)
 139/782 [==============>.................................................................]  Step: 136ms | Tot: 18s514ms | Loss: nan | Acc: 1.135% (101/8896)
 140/782 [==============>.................................................................]  Step: 133ms | Tot: 18s647ms | Loss: nan | Acc: 1.138% (102/8960)
 141/782 [==============>.................................................................]  Step: 132ms | Tot: 18s779ms | Loss: nan | Acc: 1.141% (103/9024)
 142/782 [==============>.................................................................]  Step: 131ms | Tot: 18s911ms | Loss: nan | Acc: 1.144% (104/9088)
 143/782 [==============>.................................................................]  Step: 128ms | Tot: 19s40ms | Loss: nan | Acc: 1.147% (105/9152)
 144/782 [==============>.................................................................]  Step: 129ms | Tot: 19s170ms | Loss: nan | Acc: 1.139% (105/9216)
 145/782 [==============>.................................................................]  Step: 134ms | Tot: 19s304ms | Loss: nan | Acc: 1.164% (108/9280)
 146/782 [==============>.................................................................]  Step: 134ms | Tot: 19s438ms | Loss: nan | Acc: 1.156% (108/9344)
 147/782 [===============>................................................................]  Step: 133ms | Tot: 19s571ms | Loss: nan | Acc: 1.148% (108/9408)
 148/782 [===============>................................................................]  Step: 136ms | Tot: 19s708ms | Loss: nan | Acc: 1.140% (108/9472)
 149/782 [===============>................................................................]  Step: 132ms | Tot: 19s840ms | Loss: nan | Acc: 1.133% (108/9536)
 150/782 [===============>................................................................]  Step: 133ms | Tot: 19s973ms | Loss: nan | Acc: 1.125% (108/9600)
 151/782 [===============>................................................................]  Step: 133ms | Tot: 20s107ms | Loss: nan | Acc: 1.118% (108/9664)
 152/782 [===============>................................................................]  Step: 132ms | Tot: 20s239ms | Loss: nan | Acc: 1.110% (108/9728)
 153/782 [===============>................................................................]  Step: 132ms | Tot: 20s372ms | Loss: nan | Acc: 1.123% (110/9792)
 154/782 [===============>................................................................]  Step: 132ms | Tot: 20s504ms | Loss: nan | Acc: 1.126% (111/9856)
 155/782 [===============>................................................................]  Step: 132ms | Tot: 20s637ms | Loss: nan | Acc: 1.119% (111/9920)
 156/782 [===============>................................................................]  Step: 135ms | Tot: 20s772ms | Loss: nan | Acc: 1.112% (111/9984)
 157/782 [================>...............................................................]  Step: 132ms | Tot: 20s905ms | Loss: nan | Acc: 1.105% (111/10048)
 158/782 [================>...............................................................]  Step: 132ms | Tot: 21s38ms | Loss: nan | Acc: 1.098% (111/10112)
 159/782 [================>...............................................................]  Step: 131ms | Tot: 21s170ms | Loss: nan | Acc: 1.091% (111/10176)
 160/782 [================>...............................................................]  Step: 132ms | Tot: 21s302ms | Loss: nan | Acc: 1.104% (113/10240)
 161/782 [================>...............................................................]  Step: 133ms | Tot: 21s436ms | Loss: nan | Acc: 1.097% (113/10304)
 162/782 [================>...............................................................]  Step: 132ms | Tot: 21s568ms | Loss: nan | Acc: 1.100% (114/10368)
 163/782 [================>...............................................................]  Step: 132ms | Tot: 21s701ms | Loss: nan | Acc: 1.093% (114/10432)
 164/782 [================>...............................................................]  Step: 132ms | Tot: 21s834ms | Loss: nan | Acc: 1.086% (114/10496)
 165/782 [================>...............................................................]  Step: 133ms | Tot: 21s968ms | Loss: nan | Acc: 1.098% (116/10560)
 166/782 [================>...............................................................]  Step: 133ms | Tot: 22s101ms | Loss: nan | Acc: 1.101% (117/10624)
 167/782 [=================>..............................................................]  Step: 132ms | Tot: 22s234ms | Loss: nan | Acc: 1.104% (118/10688)
 168/782 [=================>..............................................................]  Step: 133ms | Tot: 22s368ms | Loss: nan | Acc: 1.097% (118/10752)
 169/782 [=================>..............................................................]  Step: 135ms | Tot: 22s503ms | Loss: nan | Acc: 1.091% (118/10816)
 170/782 [=================>..............................................................]  Step: 132ms | Tot: 22s636ms | Loss: nan | Acc: 1.085% (118/10880)
 171/782 [=================>..............................................................]  Step: 132ms | Tot: 22s768ms | Loss: nan | Acc: 1.078% (118/10944)
